"position","title","url","description","destination"
1,"SUNDAR RAMACHANDRAN IYER - Mumbai, Maharashtra ...","https://in.linkedin.com/in/sundar-ramachandran-iyer-57389027","Sundar Ramachandran Iyer | CEO, I Inc. | Mumbai, India I work where strategy meets… · Location: Mumbai. 500+ connections on LinkedIn.","23K+ followers"
2,"K Krithivasan - CEO & MD at Tata Consultancy Services","https://in.linkedin.com/in/k-krithivasan-84659325","K Krithivasan. CEO & MD at Tata Consultancy Services. Tata Consultancy Services Indian Institute of Technology, Kanpur. Mumbai, Maharashtra, India.","133.2K+ followers"
3,"Vishal Sanghavi - Founder & CEO, Jeh Aerospace","https://www.linkedin.com/in/vishal-sanghavi-7077a89","Founder & CEO, Jeh Aerospace | Forging Resilience in Aerospace Manufacturing · Founder & CEO | Jeh Aerospace Former ... Mumbai, India and Stuttgart, Germany ...","20K+ followers"
4,"Madhur Taneja - CEO | Business Head","https://in.linkedin.com/in/taneja-madhur","CEO | Business Head | Harvard Business School · Accomplished CEO – Global ... Mumbai, India. Retail business operated ~1,300 outlets with huge negative ...","7.2K+ followers"
5,"Rajesh Gopinathan - Mumbai, India","https://in.linkedin.com/in/rajeshgopinathan","Mumbai, India · Rajesh Gopinathan joined IIT Bombay as Professor of ... CEO Force for Good Award. Chief Executive for Corporate Purpose (CECP). 2019 ...","191K+ followers"
6,"Anish Shah - Group CEO and MD, Mahindra Group","https://in.linkedin.com/in/anishdshah","Group CEO and MD, Mahindra Group · Experience: Mahindra Group ... - Mar 2015 8 months. Mumbai, India. GE Capital Graphic. President & CEO, India.","69.4K+ followers"
7,"Jaideep Nandi - Fractional CEO helping businesses scale ...","https://in.linkedin.com/in/jaideep-nandi-4411775","Fractional CEO helping businesses scale up. Ex MD Bajaj Consumer, Ex CEO ... Asian Paints. Jan 2000 - Aug 2001 1 year 8 months. Mumbai, India. As SAP ...","1.9K+ followers"
8,"Angad Daryani - Founder & CEO at Praan","https://www.linkedin.com/in/angaddaryani","Founder, CEO. Sharkbot 3D Systems. Dec 2013 - Oct 2016 2 years 11 months. Mumbai, India. At Sharkbot 3D Systems, our goal was to build India's most affordable ...","24.2K+ followers"
9,"Shefali Salwan - CEO.works","https://www.linkedin.com/in/shefali-salwan","Shefali is the Co-Founder & Head of Value Assessment and The Talent to Value Academy at… · Experience: CEO ... Mumbai, India. -. Mumbai, India. -. Education. XLRI ...","11.4K+ followers"
10,"Amur Lakshminarayanan - Managing Director & CEO at ...","https://in.linkedin.com/in/amur-lakshminarayanan-7041336","Managing Director & CEO. Tata Communications. Oct 2019 - Present 6 years 5 months. Mumbai, India. President & CEO. Representative Director. Tata Consultancy ...","4K+ followers"
